短期预测湿度 shift 60,短期预测风速 shift 60,短期预测温度 shift 60,短期预测气压 shift 60,短期预测风向sin shift 60,短期预测风向cos shift 60,实际功率,实际风速,HourOfDay
86,4.9,22.3,1000,0.325568154457157,-0.9455185755993168,7.820584347,5.480951818,8
87,4.4,22.3,1001,0.2079116908177593,-0.9781476007338056,9.084261146,5.687940303,9
88,3.7,22.3,1002,0.0523359562429438,-0.9986295347545738,12.17693817,6.230311515,10
89,2.8,22.2,1002,-0.104528463267653,-0.9945218953682734,9.741653287,5.560020303,11
90,1.8,22.2,1001,-0.0523359562429435,-0.9986295347545738,9.481414906,5.690503333,12
91,0.6,21.9,1000,-0.7071067811865475,-0.7071067811865477,7.046200751,5.068054545,13
91,0.6,21.7,1000,-0.6293203910498378,0.7771459614569706,6.128934719,4.865541212,14
91,1.2,21.5,1000,-0.1564344650402311,0.9876883405951375,4.646762598,4.590963636,15
90,1.4,21.5,1000,0.0697564737441253,0.9975640502598242,3.643693948,4.223686667,16
89,1.6,21.5,1000,0.2588190451025207,0.9659258262890684,2.73647797,3.887366667,17
88,1.5,21.7,1000,0.3907311284892737,0.9205048534524404,2.427755215,3.693566364,18
88,1.3,21.9,1001,0.5299192642332049,0.848048096156426,1.689917165,3.35874303,19
88,1.1,22.1,1001,0.6560590289905072,0.754709580222772,0.842113401,2.999910606,20
90,0.6,22.2,1001,0.7771459614569708,0.6293203910498375,0.912641791,3.068807273,21
91,0.3,22.3,1000,0.7071067811865476,-0.7071067811865475,0.200828436,2.762851212,22
92,1.1,22.5,1000,-0.2588190451025203,-0.9659258262890684,0.349121618,2.816966364,23
92,2.4,22.8,1000,-0.374606593415912,-0.9271838545667874,0.736150542,2.959003939,0
92,3.7,23.1,999,-0.374606593415912,-0.9271838545667874,-0.087531277,2.316621818,1
91,4.9,23.2,999,-0.3090169943749477,-0.9510565162951536,0.128065289,2.722398182,2
91,5.8,23.3,998,-0.1908089953765447,-0.981627183447664,-0.04678665,2.16886,3
91,6.6,23.3,998,-0.0697564737441248,-0.9975640502598244,-0.097034614,2.162665152,4
91,6.9,23.2,997,0.0174524064372834,-0.9998476951563912,0.085082118,2.159232424,5
92,6.7,23.1,997,0.0348994967025007,-0.9993908270190958,-0.106796691,2.134851212,6
94,6.3,23.0,997,0.0348994967025007,-0.9993908270190958,-0.118174202,2.115035758,7
95,5.8,22.9,998,0.0348994967025007,-0.9993908270190958,-0.103637138,1.511371152,8
96,5.6,22.8,999,0.0523359562429438,-0.9986295347545738,-0.104395611,1.668903848,9
96,5.4,22.8,1000,0.0523359562429438,-0.9986295347545738,-0.096507428,2.083856212,10
96,5.1,22.7,1000,0.0348994967025007,-0.9993908270190958,-0.105702262,2.423511818,11
97,4.3,22.2,1000,-0.6293203910498376,-0.7771459614569708,-0.080517716,2.590790152,12
97,4.1,22.2,999,-0.7547095802227717,-0.6560590289905077,0.082113023,2.339108333,13
97,4.0,22.1,999,-0.848048096156426,-0.529919264233205,-0.107358297,2.89683,14
97,3.8,22.0,999,-0.9510565162951536,-0.3090169943749475,-0.12598702,2.214323788,15
96,3.5,22.0,999,-0.992546151641322,-0.1218693434051471,-0.107031473,2.576117576,16
96,3.2,22.0,999,-0.9993908270190958,0.0348994967025012,0.224083524,2.767990455,17
96,2.7,22.1,999,-0.9945218953682734,0.1045284632676529,1.554163345,3.458375758,18
96,2.2,22.3,1000,-0.9902680687415704,0.1391731009600654,2.144744246,3.715720909,19
95,2.2,22.4,1000,-0.9986295347545738,0.0523359562429439,1.298104891,3.282442121,20
95,2.5,22.5,1000,-1.0,-1.8369701987210294e-16,-0.002575973,2.646677576,21
95,3.0,22.6,1000,-0.9945218953682734,-0.1045284632676533,-0.11448555,1.672463061,22
96,3.4,22.7,1000,-0.9335804264972016,-0.3583679495453007,-0.094154778,1.088338909,23
96,4.0,22.7,999,-0.7071067811865475,-0.7071067811865477,-0.103519365,0.671052061,0
96,4.9,22.8,999,-0.4067366430757998,-0.9135454576426012,-0.097828461,1.672966697,1
96,6.2,22.9,998,-0.1391731009600655,-0.9902680687415704,-0.128248722,2.442720606,2
95,7.0,23.1,997,0.0348994967025007,-0.9993908270190958,-0.059565088,2.506605788,3
94,7.6,23.2,997,0.1391731009600657,-0.9902680687415704,-0.065098565,2.571524848,4
94,8.0,23.3,997,0.2079116908177593,-0.9781476007338056,-0.104634013,1.995276061,5
95,8.2,23.3,997,0.1908089953765449,-0.981627183447664,-0.100399456,1.800206667,6
95,8.3,23.1,998,0.1564344650402309,-0.9876883405951375,-0.103961502,1.581364182,7
96,7.9,23.0,999,0.1218693434051475,-0.992546151641322,-0.105355191,0.852240576,8
96,6.9,22.9,1000,0.1391731009600657,-0.9902680687415704,-0.110078133,1.434933697,9
96,5.6,22.8,1000,0.1736481776669302,-0.984807753012208,-0.089727341,2.088848788,10
98,4.6,22.7,1000,0.2249510543438647,-0.9743700647852352,-0.121951543,2.179823364,11
99,3.1,22.7,1000,0.1564344650402309,-0.9876883405951375,-0.122510472,2.27485,12
99,2.5,22.9,1000,0.1564344650402309,-0.9876883405951375,-0.072529662,2.785212727,13
99,2.1,23.1,1000,0.0523359562429438,-0.9986295347545738,-0.113407287,2.474696061,14
99,1.7,23.1,1000,-0.1736481776669304,-0.984807753012208,0.085858979,3.103097273,15
99,1.5,23.0,1000,-0.4694715627858908,-0.8829475928589269,0.557668916,3.170252121,16
98,1.3,22.8,1000,-0.743144825477394,-0.6691306063588585,1.129565548,3.592827273,17
98,1.3,22.7,1000,-0.9205048534524404,-0.3907311284892738,3.214756617,4.141425758,18
98,1.2,22.6,1000,-0.9876883405951375,-0.156434465040231,1.629727163,3.557393636,19
98,1.2,22.6,1000,-0.9876883405951375,-0.156434465040231,0.948669472,3.021324242,20
98,1.2,22.6,1000,-0.9396926207859082,-0.3420201433256694,0.055134271,2.592402727,21
98,1.3,22.7,1001,-0.743144825477394,-0.6691306063588585,-0.129725914,2.650891212,22
98,2.0,22.9,1001,-0.3420201433256686,-0.9396926207859084,0.009845181,2.084383636,23
96,3.1,23.1,1001,-0.104528463267653,-0.9945218953682734,-0.027106007,2.138881212,0
96,4.5,23.2,1000,1.2246467991473532e-16,-1.0,-0.037367977,2.539215455,1
96,5.5,23.3,999,1.2246467991473532e-16,-1.0,0.235646859,2.975787576,2
96,6.0,23.2,998,-0.0523359562429435,-0.9986295347545738,-0.100193982,2.706916061,3
97,6.2,23.0,998,-0.104528463267653,-0.9945218953682734,-0.078125682,2.720961515,4
98,6.2,22.8,998,-0.1564344650402307,-0.9876883405951378,1.034284064,3.143600909,5
